Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-1979
Missing: -99
Date,Value,Anomaly
195901,29.50,-0.26
195902,32.49,-0.83
195903,41.45,0.31
195904,51.60,0.66
195905,60.84,0.76
195906,69.96,1.55
195907,73.58,0.00
195908,73.17,1.19
195909,64.74,-0.10
195910,53.33,-0.82
195911,38.66,-2.95
195912,35.94,3.40
196001,29.46,-0.30
196002,30.52,-2.80
196003,35.91,-5.23
196004,52.59,1.65
196005,59.31,-0.77
196006,69.08,0.67
196007,73.89,0.31
196008,72.21,0.23
196009,66.45,1.61
196010,54.77,0.62
196011,42.73,1.12
196012,30.40,-2.14
196101,29.71,-0.05
196102,37.42,4.10
196103,43.47,2.33
196104,48.67,-2.27
196105,58.87,-1.21
196106,69.49,1.08
196107,73.24,-0.34
196108,72.70,0.72
196109,63.41,-1.43
196110,53.85,-0.30
196111,40.50,-1.11
196112,31.08,-1.46
196201,26.96,-2.80
196202,34.92,1.60
196203,37.90,-3.24
196204,51.84,0.90
196205,62.24,2.16
196206,67.91,-0.50
196207,72.07,-1.51
196208,72.12,0.14
196209,64.18,-0.66
196210,56.12,1.97
196211,43.18,1.57
196212,33.40,0.86
196301,24.44,-5.32
196302,34.12,0.80
196303,43.72,2.58
196304,51.89,0.95
196305,61.02,0.94
196306,68.67,0.26
196307,73.60,0.02
196308,71.98,0.00
196309,66.34,1.50
196310,59.36,5.21
196311,44.04,2.43
196312,27.90,-4.64
196401,31.53,1.77
196402,31.77,-1.55
196403,38.82,-2.32
196404,51.30,0.36
196405,61.43,1.35
196406,68.00,-0.41
196407,74.66,1.08
196408,70.72,-1.26
196409,63.70,-1.14
196410,53.78,-0.37
196411,42.33,0.72
196412,32.04,-0.50
196501,31.80,2.04
196502,32.52,-0.80
196503,35.44,-5.70
196504,51.89,0.95
196505,60.80,0.72
196506,66.85,-1.56
196507,72.61,-0.97
196508,71.06,-0.92
196509,61.77,-3.07
196510,54.99,0.84
196511,44.65,3.04
196512,35.85,3.31
196601,26.38,-3.38
196602,31.24,-2.08
196603,43.00,1.86
196604,49.96,-0.98
196605,60.19,0.11
196606,67.93,-0.48
196607,75.07,1.49
196608,70.86,-1.12
196609,64.54,-0.30
196610,52.83,-1.32
196611,43.21,1.60
196612,32.68,0.14
196701,33.10,3.34
196702,32.88,-0.44
196703,43.63,2.49
196704,51.01,0.07
196705,57.63,-2.45
196706,67.55,-0.86
196707,72.52,-1.06
196708,71.22,-0.76
196709,64.06,-0.78
196710,53.92,-0.23
196711,41.54,-0.07
196712,32.07,-0.47
196801,28.94,-0.82
196802,32.92,-0.40
196803,43.56,2.42
196804,50.58,-0.36
196805,58.17,-1.91
196806,68.50,0.09
196807,72.86,-0.72
196808,70.59,-1.39
196809,63.90,-0.94
196810,54.64,0.49
196811,41.14,-0.47
196812,30.04,-2.50
196901,29.37,-0.39
196902,32.81,-0.51
196903,36.03,-5.11
196904,52.63,1.69
196905,61.41,1.33
196906,66.83,-1.58
196907,74.10,0.52
196908,73.22,1.24
196909,65.55,0.71
196910,51.03,-3.12
196911,41.59,-0.02
196912,33.46,0.92
197001,27.14,-2.62
197002,35.35,2.03
197003,38.50,-2.64
